Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number Trades,Taker Base Asset Volume,Take Quote Asset Volume,Ignore
1516406400000,0.00002475,0.00002513,0.00002475,0.00002513,89999.00000000,1516408199999,2.24834774,120,63492.00000000,1.58855930,0
1516408200000,0.00002513,0.00002548,0.00002512,0.00002544,351591.00000000,1516409999999,8.89823150,312,236986.00000000,5.99774204,0
1516410000000,0.00002544,0.00002548,0.00002531,0.00002538,197029.00000000,1516411799999,5.00723377,213,135316.00000000,3.44118683,0
1516411800000,0.00002542,0.00002544,0.00002515,0.00002520,136880.00000000,1516413599999,3.45769661,147,64275.00000000,1.62370666,0
1516413600000,0.00002527,0.00002547,0.00002515,0.00002546,184060.00000000,1516415399999,4.66682362,159,130962.00000000,3.32224178,0
1516415400000,0.00002546,0.00002596,0.00002545,0.00002590,454326.00000000,1516417199999,11.70440118,319,291967.00000000,7.52747355,0
1516417200000,0.00002590,0.00002652,0.00002590,0.00002629,1121244.00000000,1516418999999,29.45734317,714,738553.00000000,19.39385124,0
1516419000000,0.00002627,0.00002728,0.00002625,0.00002660,1559796.00000000,1516420799999,41.89408938,878,694400.00000000,18.67521768,0
1516420800000,0.00002650,0.00002663,0.00002612,0.00002612,751093.00000000,1516422599999,19.81672787,388,297284.00000000,7.85046915,0
1516422600000,0.00002613,0.00002650,0.00002512,0.00002528,915232.00000000,1516424399999,23.53971516,480,302471.00000000,7.79956490,0
1516424400000,0.00002512,0.00002613,0.00002460,0.00002552,1063571.00000000,1516426199999,26.80888570,735,505302.00000000,12.76618613,0
1516426200000,0.00002565,0.00002565,0.00002457,0.00002477,707850.00000000,1516427999999,17.62163643,439,244408.00000000,6.08425615,0
1516428000000,0.00002477,0.00002524,0.00002460,0.00002507,568733.00000000,1516429799999,14.15165370,326,312934.00000000,7.79303880,0
1516429800000,0.00002510,0.00002544,0.00002510,0.00002531,273461.00000000,1516431599999,6.92624822,193,90911.00000000,2.30233446,0
1516431600000,0.00002539,0.00002550,0.00002512,0.00002528,302360.00000000,1516433399999,7.66756528,168,110705.00000000,2.81070201,0
1516433400000,0.00002529,0.00002531,0.00002510,0.00002518,160455.00000000,1516435199999,4.04989241,126,75689.00000000,1.91287406,0
