Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number Trades,Taker Base Asset Volume,Take Quote Asset Volume,Ignore
1516406400000,0.00004538,0.00004790,0.00004535,0.00004686,370615.00000000,1516408199999,17.29692348,752,231024.00000000,10.78556827,0
1516408200000,0.00004675,0.00004824,0.00004532,0.00004824,424208.00000000,1516409999999,20.06950838,553,234781.00000000,11.13357855,0
1516410000000,0.00004825,0.00004881,0.00004708,0.00004850,476038.00000000,1516411799999,23.00456302,648,237383.00000000,11.48942364,0
1516411800000,0.00004845,0.00004899,0.00004800,0.00004830,308733.00000000,1516413599999,15.03489320,390,177578.00000000,8.65715497,0
1516413600000,0.00004811,0.00004899,0.00004700,0.00004761,463721.00000000,1516415399999,22.15130367,554,206702.00000000,9.88727075,0
1516415400000,0.00004770,0.00004827,0.00004724,0.00004763,240783.00000000,1516417199999,11.53733934,349,139383.00000000,6.68370078,0
1516417200000,0.00004755,0.00004755,0.00004569,0.00004700,307159.00000000,1516418999999,14.33086544,535,118575.00000000,5.55277000,0
1516419000000,0.00004689,0.00004800,0.00004687,0.00004734,277968.00000000,1516420799999,13.20178379,418,145093.00000000,6.90091824,0
1516420800000,0.00004747,0.00004775,0.00004689,0.00004706,149502.00000000,1516422599999,7.08008382,258,76328.00000000,3.62370887,0
1516422600000,0.00004706,0.00004728,0.00004400,0.00004445,493022.00000000,1516424399999,22.46590508,591,151290.00000000,6.91429551,0
1516424400000,0.00004445,0.00004504,0.00004288,0.00004428,710993.00000000,1516426199999,31.06576019,672,285429.00000000,12.52283872,0
1516426200000,0.00004414,0.00004536,0.00004300,0.00004481,669492.00000000,1516427999999,29.56658772,448,338468.00000000,14.96944439,0
1516428000000,0.00004479,0.00004480,0.00004351,0.00004429,157566.00000000,1516429799999,6.96756312,282,68662.00000000,3.03978764,0
1516429800000,0.00004412,0.00004570,0.00004412,0.00004516,262754.00000000,1516431599999,11.81711069,404,171656.00000000,7.70722584,0
1516431600000,0.00004513,0.00004519,0.00004355,0.00004361,392040.00000000,1516433399999,17.35259294,626,183564.00000000,8.12667598,0
1516433400000,0.00004365,0.00004423,0.00004326,0.00004353,327201.00000000,1516435199999,14.29483139,527,128372.00000000,5.61367062,0
1516435200000,0.00004344,0.00004499,0.00004307,0.00004414,256201.00000000,1516436999999,11.29861731,513,110760.00000000,4.88716318,0
1516437000000,0.00004405,0.00004580,0.00004373,0.00004391,357494.00000000,1516438799999,15.84891177,554,180226.00000000,8.03326919,0
1516438800000,0.00004391,0.00004391,0.00004302,0.00004339,237340.00000000,1516440599999,10.32447974,426,93495.00000000,4.07667794,0
1516440600000,0.00004339,0.00004355,0.00004301,0.00004341,157893.00000000,1516442399999,6.83830812,398,82818.00000000,3.59083812,0
1516442400000,0.00004339,0.00004355,0.00004301,0.00004321,160328.00000000,1516444199999,6.96080891,216,33041.00000000,1.43470081,0
1516444200000,0.00004303,0.00004334,0.00004209,0.00004286,218582.00000000,1516445999999,9.34217142,276,94201.00000000,4.01573198,0
1516446000000,0.00004286,0.00004305,0.00004273,0.00004293,94674.00000000,1516447799999,4.06025953,156,45517.00000000,1.95358629,0
1516447800000,0.00004291,0.00004308,0.00004210,0.00004252,132280.00000000,1516449599999,5.63839911,187,64362.00000000,2.74465449,0
1516449600000,0.00004252,0.00004311,0.00004206,0.00004277,223666.00000000,1516451399999,9.51465359,238,169359.00000000,7.20984994,0
1516451400000,0.00004275,0.00004429,0.00004248,0.00004384,180918.00000000,1516453199999,7.84848352,313,109275.00000000,4.73284015,0
1516453200000,0.00004384,0.00004388,0.00004329,0.00004332,199080.00000000,1516454999999,8.66257519,212,57436.00000000,2.50281257,0
1516455000000,0.00004330,0.00004330,0.00004259,0.00004283,108635.00000000,1516456799999,4.66263400,197,34991.00000000,1.50231401,0
1516456800000,0.00004283,0.00004400,0.00004254,0.00004299,280648.00000000,1516458599999,12.13305733,398,117533.00000000,5.07944089,0
1516458600000,0.00004307,0.00004324,0.00004250,0.00004259,303360.00000000,1516460399999,12.97108115,469,151262.00000000,6.46992356,0
1516460400000,0.00004259,0.00004290,0.00004210,0.00004266,236215.00000000,1516462199999,10.02832476,479,98552.00000000,4.19058866,0
1516462200000,0.00004281,0.00004392,0.00004238,0.00004373,344173.00000000,1516463999999,14.85337613,346,127292.00000000,5.49758846,0
1516464000000,0.00004382,0.00004392,0.00004202,0.00004236,328505.00000000,1516465799999,14.07711588,376,96507.00000000,4.14354353,0
1516465800000,0.00004235,0.00004282,0.00004172,0.00004194,167006.00000000,1516467599999,7.08068568,324,95826.00000000,4.07275515,0
