Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number Trades,Taker Base Asset Volume,Take Quote Asset Volume,Ignore
1516406400000,0.00026000,0.00032000,0.00023577,0.00025983,889922.00000000,1516408199999,251.08009274,6136,468367.00000000,133.81679318,0
1516408200000,0.00025802,0.00026000,0.00023000,0.00023799,273072.00000000,1516409999999,66.35785197,1810,95611.00000000,23.04843944,0
1516410000000,0.00023621,0.00023997,0.00022941,0.00023206,83189.00000000,1516411799999,19.34813320,535,46938.00000000,10.91077722,0
1516411800000,0.00023391,0.00023891,0.00023207,0.00023639,23128.00000000,1516413599999,5.45979618,230,11735.00000000,2.76838247,0
1516413600000,0.00023639,0.00023991,0.00023600,0.00023776,24099.00000000,1516415399999,5.73758643,177,14760.00000000,3.51639731,0
1516415400000,0.00023890,0.00023997,0.00023361,0.00023589,18731.00000000,1516417199999,4.45726169,164,9562.00000000,2.27986012,0
1516417200000,0.00023589,0.00023589,0.00022962,0.00023543,21335.00000000,1516418999999,5.00387566,191,14157.00000000,3.32591374,0
1516419000000,0.00023450,0.00023450,0.00023031,0.00023150,19313.00000000,1516420799999,4.48993406,138,6849.00000000,1.59986612,0
1516420800000,0.00023354,0.00023354,0.00022931,0.00023051,20474.00000000,1516422599999,4.75394402,187,15233.00000000,3.54452825,0
1516422600000,0.00023235,0.00023235,0.00022111,0.00022115,27087.00000000,1516424399999,6.14014565,222,10454.00000000,2.39296436,0
1516424400000,0.00022115,0.00023344,0.00021731,0.00022724,53384.00000000,1516426199999,11.91985312,640,30290.00000000,6.78467158,0
1516426200000,0.00022905,0.00022992,0.00022079,0.00022590,10769.00000000,1516427999999,2.42043851,94,6129.00000000,1.38417982,0
1516428000000,0.00022611,0.00022992,0.00022611,0.00022713,15730.00000000,1516429799999,3.58302827,75,5664.00000000,1.29658656,0
1516429800000,0.00022791,0.00022934,0.00022676,0.00022906,8982.00000000,1516431599999,2.05239438,52,4057.00000000,0.92826201,0
1516431600000,0.00022884,0.00023244,0.00022470,0.00023011,11722.00000000,1516433399999,2.68402738,92,7684.00000000,1.76436186,0
1516433400000,0.00023031,0.00023211,0.00022827,0.00023044,5738.00000000,1516435199999,1.31799935,67,1726.00000000,0.39869087,0
1516435200000,0.00022887,0.00023209,0.00022887,0.00023002,9613.00000000,1516436999999,2.21491570,90,5142.00000000,1.18462479,0
1516437000000,0.00023197,0.00023244,0.00022719,0.00022963,15836.00000000,1516438799999,3.64543785,101,10274.00000000,2.36679261,0
1516438800000,0.00022971,0.00023244,0.00022971,0.00023055,11241.00000000,1516440599999,2.60717534,106,3305.00000000,0.76756962,0
1516440600000,0.00023242,0.00023405,0.00023067,0.00023405,7421.00000000,1516442399999,1.72384496,58,2174.00000000,0.50581344,0
1516442400000,0.00023494,0.00023500,0.00022847,0.00023190,10473.00000000,1516444199999,2.42246408,112,6148.00000000,1.42321783,0
1516444200000,0.00023425,0.00023498,0.00022957,0.00023201,6374.00000000,1516445999999,1.48320288,76,4405.00000000,1.02691708,0
1516446000000,0.00023222,0.00023814,0.00023157,0.00023646,9894.00000000,1516447799999,2.32235279,126,5175.00000000,1.21797147,0
1516447800000,0.00023600,0.00023714,0.00023111,0.00023190,14478.00000000,1516449599999,3.39168570,125,6151.00000000,1.44083623,0
1516449600000,0.00023419,0.00023425,0.00022111,0.00022946,8405.00000000,1516451399999,1.93330025,95,1715.00000000,0.39621201,0
1516451400000,0.00022945,0.00023170,0.00022653,0.00023170,13508.00000000,1516453199999,3.11435243,91,10691.00000000,2.46811641,0
1516453200000,0.00022945,0.00023500,0.00022944,0.00023197,11997.00000000,1516454999999,2.78881305,101,3604.00000000,0.83842352,0
1516455000000,0.00023197,0.00023197,0.00022654,0.00022918,12930.00000000,1516456799999,2.97942745,66,4868.00000000,1.12405023,0
1516456800000,0.00022926,0.00023244,0.00022926,0.00023019,2567.00000000,1516458599999,0.59424291,53,2079.00000000,0.48185855,0
1516458600000,0.00023212,0.00023212,0.00022671,0.00023000,5329.00000000,1516460399999,1.22591679,71,2901.00000000,0.67001016,0
1516460400000,0.00023137,0.00023269,0.00022980,0.00022994,7723.00000000,1516462199999,1.78227719,86,2560.00000000,0.59193794,0
1516462200000,0.00022995,0.00023200,0.00022994,0.00023022,3635.00000000,1516463999999,0.83865780,45,1819.00000000,0.42064071,0
1516464000000,0.00023031,0.00023207,0.00023022,0.00023100,5724.00000000,1516465799999,1.32353506,57,3484.00000000,0.80721076,0
1516465800000,0.00023183,0.00023217,0.00022791,0.00022791,14983.00000000,1516467599999,3.44546200,128,7472.00000000,1.72043961,0
1516467600000,0.00022923,0.00023085,0.00022705,0.00022836,13607.00000000,1516469399999,3.11279601,123,6618.00000000,1.51855452,0
1516469400000,0.00023014,0.00023394,0.00022782,0.00023104,17284.00000000,1516471199999,3.99952032,147,9803.00000000,2.27461666,0
1516471200000,0.00023364,0.00023365,0.00023067,0.00023164,5009.00000000,1516472999999,1.16275495,50,2298.00000000,0.53540279,0
1516473000000,0.00023177,0.00023814,0.00023000,0.00023201,21337.00000000,1516474799999,5.00358835,226,10889.00000000,2.55764140,0
1516474800000,0.00023002,0.00023501,0.00022778,0.00023299,8015.00000000,1516476599999,1.85114152,116,3292.00000000,0.76271574,0
1516476600000,0.00023155,0.00023486,0.00023000,0.00023321,7813.00000000,1516478399999,1.81336001,73,2577.00000000,0.59845817,0
1516478400000,0.00023400,0.00023500,0.00023327,0.00023400,12474.00000000,1516480199999,2.92210933,61,9027.00000000,2.11609389,0
