Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number Trades,Taker Base Asset Volume,Take Quote Asset Volume,Ignore
1516406400000,0.00027340,0.00027390,0.00026800,0.00027300,14484.40000000,1516408199999,3.92206196,138,5683.98000000,1.54537220,0
1516408200000,0.00027310,0.00027410,0.00027250,0.00027280,4662.68000000,1516409999999,1.27485915,73,2829.28000000,0.77441359,0
1516410000000,0.00027280,0.00027390,0.00026970,0.00026970,12177.30000000,1516411799999,3.31385502,87,3379.80000000,0.92263206,0
1516411800000,0.00027060,0.00027080,0.00026800,0.00027050,12848.83000000,1516413599999,3.46018001,115,4860.01000000,1.30922165,0
1516413600000,0.00027080,0.00027320,0.00027040,0.00027170,7072.37000000,1516415399999,1.92103591,105,3729.66000000,1.01474208,0
1516415400000,0.00027270,0.00027290,0.00027100,0.00027210,2998.94000000,1516417199999,0.81540542,39,1242.06000000,0.33862084,0
1516417200000,0.00027240,0.00027270,0.00027140,0.00027270,4596.27000000,1516418999999,1.25058928,77,2938.43000000,0.80020261,0
1516419000000,0.00027270,0.00027620,0.00027120,0.00027600,6371.08000000,1516420799999,1.74214446,91,3737.56000000,1.02301268,0
1516420800000,0.00027460,0.00027620,0.00027340,0.00027350,3956.77000000,1516422599999,1.08802277,67,1094.35000000,0.30115640,0
1516422600000,0.00027530,0.00027530,0.00027020,0.00027020,8121.19000000,1516424399999,2.21182662,92,2387.35000000,0.65285929,0
1516424400000,0.00027020,0.00027020,0.00026700,0.00026700,16741.06000000,1516426199999,4.49886962,147,3584.43000000,0.96508224,0
1516426200000,0.00026700,0.00026910,0.00026650,0.00026750,6957.08000000,1516427999999,1.85829729,56,2089.15000000,0.55935315,0
1516428000000,0.00026750,0.00026950,0.00026580,0.00026590,5221.99000000,1516429799999,1.39910634,89,2196.25000000,0.58778330,0
1516429800000,0.00026780,0.00026780,0.00026510,0.00026700,4548.10000000,1516431599999,1.21002658,66,1387.23000000,0.36972903,0
1516431600000,0.00026700,0.00026700,0.00026500,0.00026540,5548.38000000,1516433399999,1.47440250,71,2328.53000000,0.61899029,0
1516433400000,0.00026560,0.00026680,0.00026400,0.00026550,2797.91000000,1516435199999,0.74218637,56,905.35000000,0.24060319,0
1516435200000,0.00026550,0.00026610,0.00026380,0.00026470,6478.40000000,1516436999999,1.71108217,78,1501.47000000,0.39739465,0
1516437000000,0.00026390,0.00027150,0.00026390,0.00027150,15188.29000000,1516438799999,4.05924797,161,9113.41000000,2.43762283,0
1516438800000,0.00027150,0.00027150,0.00026850,0.00026850,4406.38000000,1516440599999,1.19234424,88,2244.64000000,0.60850279,0
1516440600000,0.00026860,0.00027150,0.00026580,0.00026920,5117.63000000,1516442399999,1.37718618,85,2249.28000000,0.60664728,0
1516442400000,0.00026920,0.00027200,0.00026920,0.00026980,3601.39000000,1516444199999,0.97670919,42,324.83000000,0.08799843,0
1516444200000,0.00027190,0.00027190,0.00026350,0.00026940,13766.92000000,1516445999999,3.66366751,108,2517.22000000,0.67365831,0
1516446000000,0.00026930,0.00027000,0.00022690,0.00026460,67061.06000000,1516447799999,17.13247233,414,10514.49000000,2.73457083,0
1516447800000,0.00026460,0.00026460,0.00025820,0.00026400,6816.87000000,1516449599999,1.78747053,77,2742.50000000,0.72150876,0
1516449600000,0.00026140,0.00026460,0.00025210,0.00026080,16568.54000000,1516451399999,4.29655339,145,4301.02000000,1.12513337,0
1516451400000,0.00026220,0.00026380,0.00026000,0.00026380,4504.93000000,1516453199999,1.17633262,80,3131.09000000,0.81861710,0
1516453200000,0.00026190,0.00026190,0.00025320,0.00025580,10004.74000000,1516454999999,2.57157509,140,4054.00000000,1.04126558,0
1516455000000,0.00025570,0.00026110,0.00025560,0.00025680,7864.78000000,1516456799999,2.03018141,117,4809.48000000,1.24222283,0
