Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number Trades,Taker Base Asset Volume,Take Quote Asset Volume,Ignore
1516406400000,0.00003176,0.00003207,0.00003150,0.00003185,127466.00000000,1516408199999,4.05640387,81,57040.00000000,1.81900368,0
1516408200000,0.00003185,0.00003190,0.00003150,0.00003158,37535.00000000,1516409999999,1.19206881,67,15249.00000000,0.48499831,0
1516410000000,0.00003175,0.00003193,0.00003140,0.00003191,47426.00000000,1516411799999,1.50492781,68,40279.00000000,1.27871691,0
1516411800000,0.00003190,0.00003298,0.00003177,0.00003298,51697.00000000,1516413599999,1.67538285,126,38522.00000000,1.24868662,0
1516413600000,0.00003298,0.00003299,0.00003202,0.00003236,92895.00000000,1516415399999,3.02772377,112,26476.00000000,0.86174392,0
1516415400000,0.00003247,0.00003299,0.00003247,0.00003299,88295.00000000,1516417199999,2.89881497,80,44193.00000000,1.45396320,0
1516417200000,0.00003298,0.00003359,0.00003177,0.00003200,286594.00000000,1516418999999,9.35949094,276,138400.00000000,4.53050574,0
1516419000000,0.00003200,0.00003226,0.00003200,0.00003202,86208.00000000,1516420799999,2.77201432,91,33932.00000000,1.09220184,0
1516420800000,0.00003202,0.00003310,0.00003180,0.00003298,177359.00000000,1516422599999,5.73537735,183,96308.00000000,3.11621316,0
1516422600000,0.00003309,0.00003309,0.00003100,0.00003114,94774.00000000,1516424399999,3.00079971,124,11070.00000000,0.35216127,0
1516424400000,0.00003114,0.00003134,0.00003079,0.00003084,88829.00000000,1516426199999,2.75427207,105,62934.00000000,1.95394857,0
1516426200000,0.00003083,0.00003098,0.00003031,0.00003049,98315.00000000,1516427999999,3.01577801,142,26023.00000000,0.79834997,0
1516428000000,0.00003049,0.00003099,0.00003031,0.00003086,43115.00000000,1516429799999,1.32459943,63,8580.00000000,0.26443019,0
1516429800000,0.00003086,0.00003102,0.00003071,0.00003089,39009.00000000,1516431599999,1.20439050,61,5371.00000000,0.16628471,0
1516431600000,0.00003101,0.00003104,0.00003077,0.00003093,29750.00000000,1516433399999,0.92011489,37,11734.00000000,0.36355281,0
1516433400000,0.00003093,0.00003099,0.00003051,0.00003065,33868.00000000,1516435199999,1.04064559,61,15268.00000000,0.46966648,0
1516435200000,0.00003066,0.00003089,0.00003051,0.00003085,57231.00000000,1516436999999,1.76003981,58,31038.00000000,0.95713621,0
1516437000000,0.00003079,0.00003088,0.00003034,0.00003035,32754.00000000,1516438799999,0.99867908,71,11956.00000000,0.36501941,0
1516438800000,0.00003035,0.00003084,0.00003034,0.00003084,16479.00000000,1516440599999,0.50263338,41,13086.00000000,0.39916375,0
1516440600000,0.00003084,0.00003084,0.00003066,0.00003082,29674.00000000,1516442399999,0.91380002,42,25999.00000000,0.80056952,0
1516442400000,0.00003082,0.00003204,0.00003047,0.00003196,339568.00000000,1516444199999,10.60713445,340,223845.00000000,6.97447273,0
1516444200000,0.00003185,0.00003230,0.00003158,0.00003158,99364.00000000,1516445999999,3.17667124,176,40597.00000000,1.29960516,0
1516446000000,0.00003158,0.00003158,0.00003100,0.00003137,168371.00000000,1516447799999,5.25340138,176,93292.00000000,2.91158885,0
1516447800000,0.00003138,0.00003140,0.00003100,0.00003125,80241.00000000,1516449599999,2.50895928,108,38377.00000000,1.20016620,0
1516449600000,0.00003137,0.00003140,0.00003103,0.00003140,108015.00000000,1516451399999,3.38621724,104,74671.00000000,2.34395318,0
1516451400000,0.00003140,0.00003147,0.00003122,0.00003136,60748.00000000,1516453199999,1.90692457,83,37690.00000000,1.18345538,0
1516453200000,0.00003120,0.00003127,0.00003092,0.00003095,139261.00000000,1516454999999,4.31747235,145,78508.00000000,2.43414012,0
1516455000000,0.00003095,0.00003132,0.00003079,0.00003131,73966.00000000,1516456799999,2.29666055,107,40751.00000000,1.26801515,0
1516456800000,0.00003120,0.00003138,0.00003120,0.00003130,52147.00000000,1516458599999,1.63249235,79,29209.00000000,0.91459676,0
1516458600000,0.00003120,0.00003120,0.00003050,0.00003066,117476.00000000,1516460399999,3.61272342,148,56183.00000000,1.72970094,0
1516460400000,0.00003066,0.00003073,0.00003050,0.00003057,148272.00000000,1516462199999,4.53283387,125,87839.00000000,2.68771834,0
1516462200000,0.00003060,0.00003060,0.00003046,0.00003060,79522.00000000,1516463999999,2.43092782,120,42546.00000000,1.30184901,0
1516464000000,0.00003060,0.00003060,0.00003031,0.00003031,163761.00000000,1516465799999,4.98580520,139,42238.00000000,1.29086365,0
1516465800000,0.00003040,0.00003049,0.00003000,0.00003016,336042.00000000,1516467599999,10.15815348,184,53211.00000000,1.61715035,0
1516467600000,0.00003015,0.00003029,0.00002987,0.00003021,83670.00000000,1516469399999,2.51131123,139,47053.00000000,1.41319177,0
1516469400000,0.00003003,0.00003041,0.00002987,0.00002987,54241.00000000,1516471199999,1.63645642,84,30317.00000000,0.91596163,0
1516471200000,0.00003014,0.00003049,0.00002987,0.00003030,196621.00000000,1516472999999,5.96712677,115,158881.00000000,4.82365033,0
1516473000000,0.00003033,0.00003049,0.00003000,0.00003023,177701.00000000,1516474799999,5.40117865,147,137056.00000000,4.17250967,0
1516474800000,0.00003028,0.00003069,0.00003023,0.00003055,143518.00000000,1516476599999,4.36377480,131,73100.00000000,2.22734989,0
1516476600000,0.00003066,0.00003110,0.00003055,0.00003110,45423.00000000,1516478399999,1.39939277,85,27873.00000000,0.85777922,0
1516478400000,0.00003100,0.00003142,0.00003065,0.00003116,74318.00000000,1516480199999,2.30785308,99,23874.00000000,0.74287901,0
1516480200000,0.00003114,0.00003189,0.00003080,0.00003180,168190.00000000,1516481999999,5.29260973,236,74916.00000000,2.35616992,0
1516482000000,0.00003185,0.00003224,0.00003065,0.00003106,127834.00000000,1516483799999,4.04029316,184,40419.00000000,1.28354494,0
1516483800000,0.00003117,0.00003348,0.00003068,0.00003242,466996.00000000,1516485599999,15.28104588,429,316020.00000000,10.35190423,0
1516485600000,0.00003245,0.00003346,0.00003191,0.00003267,151335.00000000,1516487399999,4.95778079,178,66333.00000000,2.17790844,0
1516487400000,0.00003267,0.00003320,0.00003239,0.00003320,116174.00000000,1516489199999,3.82123658,192,51812.00000000,1.70819641,0
1516489200000,0.00003331,0.00003332,0.00003200,0.00003291,162770.00000000,1516490999999,5.30663106,207,73431.00000000,2.39139278,0
1516491000000,0.00003290,0.00003332,0.00003244,0.00003273,43045.00000000,1516492799999,1.41490789,119,18254.00000000,0.60168763,0
1516492800000,0.00003273,0.00003346,0.00003260,0.00003296,88001.00000000,1516494599999,2.90709695,144,50948.00000000,1.68877429,0
1516494600000,0.00003294,0.00003320,0.00003240,0.00003278,75690.00000000,1516496399999,2.48342087,86,22709.00000000,0.74605460,0
1516496400000,0.00003272,0.00003307,0.00003241,0.00003245,72654.00000000,1516498199999,2.36813483,79,39432.00000000,1.28694566,0
1516498200000,0.00003251,0.00003274,0.00003251,0.00003264,17326.00000000,1516499999999,0.56515167,25,11632.00000000,0.37985673,0
1516500000000,0.00003264,0.00003270,0.00003200,0.00003202,127749.00000000,1516501799999,4.13175490,102,24672.00000000,0.79784826,0
1516501800000,0.00003203,0.00003203,0.00003180,0.00003189,52212.00000000,1516503599999,1.66318869,63,12828.00000000,0.40968837,0
1516503600000,0.00003203,0.00003204,0.00003147,0.00003156,77815.00000000,1516505399999,2.46573058,133,35385.00000000,1.12031235,0
1516505400000,0.00003161,0.00003161,0.00003102,0.00003123,26484.00000000,1516507199999,0.82954238,57,9673.00000000,0.30388937,0
1516507200000,0.00003135,0.00003135,0.00003056,0.00003097,88516.00000000,1516508999999,2.74162732,102,45471.00000000,1.41069892,0
1516509000000,0.00003128,0.00003128,0.00003010,0.00003039,206377.00000000,1516510799999,6.29314403,175,48387.00000000,1.48028140,0
1516510800000,0.00003037,0.00003052,0.00003001,0.00003027,51031.00000000,1516512599999,1.54373106,95,16978.00000000,0.51380553,0
1516512600000,0.00003029,0.00003040,0.00003000,0.00003008,26470.00000000,1516514399999,0.79964555,44,3954.00000000,0.11988851,0
1516514400000,0.00003005,0.00003023,0.00003005,0.00003007,10103.00000000,1516516199999,0.30401702,29,4321.00000000,0.13009216,0
1516516200000,0.00003007,0.00003027,0.00003001,0.00003017,44753.00000000,1516517999999,1.35042912,74,24069.00000000,0.72660657,0
1516518000000,0.00003004,0.00003020,0.00003002,0.00003015,23992.00000000,1516519799999,0.72245879,41,13430.00000000,0.40495345,0
1516519800000,0.00003015,0.00003015,0.00002973,0.00002997,48012.00000000,1516521599999,1.43784945,72,15790.00000000,0.47397821,0
1516521600000,0.00002997,0.00003018,0.00002965,0.00003000,70435.00000000,1516523399999,2.10977595,89,43254.00000000,1.29753733,0
1516523400000,0.00003000,0.00003011,0.00002991,0.00003000,14322.00000000,1516525199999,0.43016790,32,5217.00000000,0.15706138,0
1516525200000,0.00003000,0.00003011,0.00002976,0.00002977,38192.00000000,1516526999999,1.14522619,62,10082.00000000,0.30291040,0
1516527000000,0.00002998,0.00003007,0.00002977,0.00003007,14927.00000000,1516528799999,0.44734430,35,9660.00000000,0.28969655,0
1516528800000,0.00003007,0.00003007,0.00002991,0.00003005,8728.00000000,1516530599999,0.26198706,20,5624.00000000,0.16899804,0
1516530600000,0.00003005,0.00003130,0.00002982,0.00002995,141663.00000000,1516532399999,4.29363677,167,61709.00000000,1.88091642,0
1516532400000,0.00003007,0.00003067,0.00003001,0.00003040,43642.00000000,1516534199999,1.31851246,58,32475.00000000,0.97913442,0
1516534200000,0.00003037,0.00003059,0.00003035,0.00003045,26285.00000000,1516535999999,0.79898285,36,18225.00000000,0.55425187,0
1516536000000,0.00003045,0.00003059,0.00003045,0.00003059,12895.00000000,1516537799999,0.39317457,34,3256.00000000,0.09956241,0
1516537800000,0.00003059,0.00003075,0.00003034,0.00003059,74264.00000000,1516539599999,2.27066118,99,25459.00000000,0.77835803,0
1516539600000,0.00003059,0.00003098,0.00003050,0.00003070,67723.00000000,1516541399999,2.07501222,70,22624.00000000,0.69488538,0
1516541400000,0.00003083,0.00003133,0.00003083,0.00003117,169837.00000000,1516543199999,5.29075961,157,110349.00000000,3.44492728,0
1516543200000,0.00003117,0.00003167,0.00003062,0.00003072,420887.00000000,1516544999999,13.22235692,384,204646.00000000,6.43491613,0
1516545000000,0.00003077,0.00003145,0.00003069,0.00003124,133266.00000000,1516546799999,4.16166451,179,52062.00000000,1.62834149,0
1516546800000,0.00003123,0.00003126,0.00003111,0.00003126,107857.00000000,1516548599999,3.36662830,156,62215.00000000,1.94280603,0
1516548600000,0.00003126,0.00003126,0.00003033,0.00003040,146141.00000000,1516550399999,4.48108801,191,53457.00000000,1.64080543,0
1516550400000,0.00003040,0.00003040,0.00003001,0.00003007,111736.00000000,1516552199999,3.36746645,154,21813.00000000,0.65879446,0
1516552200000,0.00003001,0.00003083,0.00002950,0.00003031,121798.00000000,1516553999999,3.64037838,205,29315.00000000,0.87832621,0
1516554000000,0.00003032,0.00003199,0.00003031,0.00003160,346979.00000000,1516555799999,10.87150826,543,186525.00000000,5.84774736,0
1516555800000,0.00003160,0.00003171,0.00003079,0.00003136,99798.00000000,1516557599999,3.12132014,184,43367.00000000,1.35984020,0
1516557600000,0.00003136,0.00003136,0.00003006,0.00003076,232195.00000000,1516559399999,7.09678876,246,91852.00000000,2.82136330,0
1516559400000,0.00003076,0.00003076,0.00002972,0.00002995,128738.00000000,1516561199999,3.89289203,129,56010.00000000,1.70666600,0
1516561200000,0.00002994,0.00003049,0.00002971,0.00003019,227941.00000000,1516562999999,6.85518520,137,178938.00000000,5.37670608,0
1516563000000,0.00003022,0.00003048,0.00002995,0.00002996,283256.00000000,1516564799999,8.52882450,147,190725.00000000,5.74419552,0
1516564800000,0.00002996,0.00002996,0.00002951,0.00002969,72751.00000000,1516566599999,2.16633677,107,27613.00000000,0.82458494,0
1516566600000,0.00002969,0.00002974,0.00002928,0.00002944,99780.00000000,1516568399999,2.94572730,116,54948.00000000,1.62038152,0
1516568400000,0.00002941,0.00002963,0.00002931,0.00002947,85423.00000000,1516570199999,2.51550634,104,59104.00000000,1.74110005,0
1516570200000,0.00002956,0.00002963,0.00002932,0.00002934,52571.00000000,1516571999999,1.54560316,90,16551.00000000,0.48661390,0
1516572000000,0.00002935,0.00003033,0.00002909,0.00003001,107289.00000000,1516573799999,3.17426779,141,63431.00000000,1.88208438,0
1516573800000,0.00003000,0.00003048,0.00002996,0.00003025,208711.00000000,1516575599999,6.31002609,160,103549.00000000,3.13256243,0
1516575600000,0.00003030,0.00003058,0.00002936,0.00002960,83406.00000000,1516577399999,2.47782933,98,21199.00000000,0.63043542,0
1516577400000,0.00002960,0.00002973,0.00002937,0.00002966,77071.00000000,1516579199999,2.27433865,81,21783.00000000,0.64478792,0
1516579200000,0.00002966,0.00002972,0.00002950,0.00002955,95259.00000000,1516580999999,2.81943391,77,25667.00000000,0.76169593,0
1516581000000,0.00002957,0.00002988,0.00002948,0.00002980,114385.00000000,1516582799999,3.39361853,72,67821.00000000,2.01611921,0
1516582800000,0.00002964,0.00003023,0.00002964,0.00002974,33431.00000000,1516584599999,0.99840816,65,15401.00000000,0.46002594,0
1516584600000,0.00002970,0.00002999,0.00002951,0.00002967,36246.00000000,1516586399999,1.07414992,65,7309.00000000,0.21661668,0
1516586400000,0.00002961,0.00002972,0.00002925,0.00002925,43274.00000000,1516588199999,1.27414782,80,15338.00000000,0.45234331,0
1516588200000,0.00002927,0.00002971,0.00002926,0.00002971,21120.00000000,1516589999999,0.62489646,40,17549.00000000,0.52030309,0
1516590000000,0.00002954,0.00002970,0.00002950,0.00002970,15698.00000000,1516591799999,0.46507846,37,8388.00000000,0.24893102,0
1516591800000,0.00002957,0.00002970,0.00002933,0.00002940,27141.00000000,1516593599999,0.80133903,43,8063.00000000,0.23830819,0
1516593600000,0.00002940,0.00002948,0.00002916,0.00002929,51139.00000000,1516595399999,1.49594784,40,3000.00000000,0.08812636,0
1516595400000,0.00002947,0.00002951,0.00002916,0.00002950,33257.00000000,1516597199999,0.97738564,55,13856.00000000,0.40817213,0
1516597200000,0.00002950,0.00003023,0.00002936,0.00003011,89102.00000000,1516598999999,2.66140191,100,51394.00000000,1.53477920,0
1516599000000,0.00003011,0.00003044,0.00002986,0.00003015,41483.00000000,1516600799999,1.24738154,66,6309.00000000,0.19072871,0
1516600800000,0.00003030,0.00003052,0.00003014,0.00003036,29066.00000000,1516602599999,0.88347163,61,7756.00000000,0.23587715,0
1516602600000,0.00003040,0.00003040,0.00002950,0.00002982,51606.00000000,1516604399999,1.53492568,109,17005.00000000,0.50562211,0
1516604400000,0.00002980,0.00003131,0.00002970,0.00003019,172742.00000000,1516606199999,5.29114232,179,103786.00000000,3.20334421,0
1516606200000,0.00003020,0.00003230,0.00003000,0.00003201,266103.00000000,1516607999999,8.32416611,347,164551.00000000,5.15832291,0
1516608000000,0.00003201,0.00003214,0.00003133,0.00003200,163953.00000000,1516609799999,5.22001337,239,76520.00000000,2.43974637,0
1516609800000,0.00003190,0.00003212,0.00003151,0.00003183,83019.00000000,1516611599999,2.64439975,121,35972.00000000,1.14762140,0
1516611600000,0.00003183,0.00003196,0.00003138,0.00003150,102762.00000000,1516613399999,3.26169545,106,46911.00000000,1.48736730,0
1516613400000,0.00003149,0.00003149,0.00003113,0.00003130,53975.00000000,1516615199999,1.69070566,106,21894.00000000,0.68625266,0
1516615200000,0.00003130,0.00003140,0.00003105,0.00003117,100626.00000000,1516616999999,3.13795377,102,62050.00000000,1.93703641,0
1516617000000,0.00003117,0.00003117,0.00003102,0.00003102,45065.00000000,1516618799999,1.39985706,60,20639.00000000,0.64183362,0
1516618800000,0.00003102,0.00003117,0.00003102,0.00003107,63410.00000000,1516620599999,1.97597067,43,60607.00000000,1.88891762,0
1516620600000,0.00003108,0.00003109,0.00003046,0.00003046,121784.00000000,1516622399999,3.75823592,166,37985.00000000,1.17045287,0
1516622400000,0.00003046,0.00003049,0.00002978,0.00002997,119143.00000000,1516624199999,3.59356502,146,30492.00000000,0.91987220,0
1516624200000,0.00002998,0.00003037,0.00002978,0.00002999,54378.00000000,1516625999999,1.62995207,65,30645.00000000,0.91847694,0
